"Social Accounts","Social Accounts"
"Settings","Settings"
"Readme","Readme"
"Get Support","Get Support"
"Block","Block"
"Visibility","Visibility"
"Template","Template"
"Something went wrong.","Something went wrong."
"Invalid state for action","Invalid state for action"
"Social account already taken","Social account already taken"
"Social account linked to undefined customer.","Social account linked to undefined customer."
"Social account unlinked","Social account unlinked"
"Invalid customer","Invalid customer"
"Social","Social"
"Accounts","Accounts"
"My Social Accounts","My Social Accounts"
"Invalid provider account","Invalid provider account"
"State %1 invalid","State %1 invalid"
"Account with id ""%1"" does not exist.","Account with id ""%1"" does not exist."
"Account with social_id ""%1"" does not exist.","Account with social_id ""%1"" does not exist."
"Social account already exists","Social account already exists"
"Visible","Visible"
"Not Visible","Not Visible"
"Invalid customer for social account.","Invalid customer for social account."
"Template %1 undefined","Template %1 undefined"
"Retrieved invalid data","Retrieved invalid data"
"Token not found","Token not found"
"Auth State not found","Auth State not found"
"Provider with type ""%1"" not defined","Provider with type ""%1"" not defined"
"Provider with type ""%1"" not enabled","Provider with type ""%1"" not enabled"
"View customer","View customer"
"Customer has not linked any social accounts yet.","Customer has not linked any social accounts yet."
"Add","Add"
"Delete","Delete"
"Linked accounts","Linked accounts"
"Unlink","Unlink"
"You have not linked any social accounts yet.","You have not linked any social accounts yet."
"Link new accounts","Link new accounts"
"Link <span class=""social-login-label"">%1</span> account","Link <span class=""social-login-label"">%1</span> account"
"Login with <span class=""social-login-label"">%1</span>","Login with <span class=""social-login-label"">%1</span>"
"Aheadworks Extensions","Aheadworks Extensions"
"Social Login","Social Login"
"General","General"
"Enable Social Login","Enable Social Login"
"Login Blocks","Login Blocks"
"Block Settings","Block Settings"
"Setting for login blocks","Setting for login blocks"
"Twitter","Twitter"
"Enabled","Enabled"
"Consumer Key (API Key)","Consumer Key (API Key)"
"Consumer Key (Application ID)","Consumer Key (Application ID)"
"Consumer Secret (API Secret)","Consumer Secret (API Secret)"
"Consumer Secret (Secret Key)","Consumer Secret (Secret Key)"
"Facebook","Facebook"
"Google","Google"
"LinkedIn","LinkedIn"
"Instagram","Instagram"
"Pinterest","Pinterest"
"Vk","Vk"
"Odnoklassniki","Odnoklassniki"
"Paypal","Paypal"
"Links for social login","Links for social login"
"ID","ID"
"First Name","First Name"
"Last Name","Last Name"
"Email","Email"
"Type","Type"
"Social Id","Social Id"
"Created","Created"
"Last Signed","Last Signed"
"Social Login by aheadWorks","Social Login by aheadWorks"
"Action","Action"
"Yes","Yes"
"No","No"
"Sort Order","Sort Order"
"Please set up your email in ""Account information"" tab in customer account. Otherwise you can not receive any emails from our store (for example, your order updates)","Please set up your email in ""Account information"" tab in customer account. Otherwise you can not receive any emails from our store (for example, your order updates)"
"Please, fill out the fields below","Please, fill out the fields below"
"Provide missing information to complete customer registration","Provide missing information to complete customer registration"
"Save and register","Save and register"
"Customer with this email already exist","Customer with this email already exist"
"Public Key","Public Key"
