"0 - no delay","0 - no delay"
"Add","Add"
"All Pages","All Pages"
"Background Color","Background Color"
"Black, 900","Black, 900"
"Bold, 700","Bold, 700"
"Catalog Pages","Catalog Pages"
"Center","Center"
"Checkout","Checkout"
"Content","Content"
"Content bottom","Content bottom"
"Content top","Content top"
"Content when cart is empty","Content when cart is empty"
"Content when cart is not empty","Content when cart is not empty"
"Content when goal is reached","Content when goal is reached"
"Custom CSS","Custom CSS"
"Customer Groups","Customer Groups"
"Delete","Delete"
"Design","Design"
"Display with delay after page load, seconds","Display with delay after page load, seconds"
"Enabled","Enabled"
"Font","Font"
"Font Color","Font Color"
"Font Color of Goal","Font Color of Goal"
"Font Size, px","Font Size, px"
"Font Weight","Font Weight"
"Free Shipping Bar by aheadWorks","Free Shipping Bar by aheadWorks"
"Free Shipping Goal","Free Shipping Goal"
"Home Page","Home Page"
"In base currency","In base currency"
"Layout Position","Layout Position"
"Left","Left"
"Light, 300","Light, 300"
"Medium, 500","Medium, 500"
"Message","Message"
"Most popular Google Fonts are used.","Most popular Google Fonts are used."
"Page bottom","Page bottom"
"Page bottom, fixed (sticky footer)","Page bottom, fixed (sticky footer)"
"Pages","Pages"
"Page Top","Page Top"
"Page top, fixed (sticky header)","Page top, fixed (sticky header)"
"Preview","Preview"
"Product Pages","Product Pages"
"Regular, 400","Regular, 400"
"Right","Right"
"Save","Save"
"Settings","Settings"
"Settings were successfully saved","Settings were successfully saved"
"Shopping cart","Shopping cart"
"Something went wrong while saving label settings","Something went wrong while saving label settings"
"Store View","Store View"
"Text Align","Text Align"
"Thin, 100","Thin, 100"
"Variables","Variables"
"Where to Display","Where to Display"
"{{ruleGoalLeft}} - returns value left to reach the Goal. (Left = Goal - CartTotal)","{{ruleGoalLeft}} - returns value left to reach the Goal. (Left = Goal - CartTotal)"
"{{ruleGoal}} - returns value of the Goal in current currency with currency code","{{ruleGoal}} - returns value of the Goal in current currency with currency code"
